Algorithm,Timestamp (s),Relative number path,length(m),source,dest
penalty,5.529139280319214,4,188126.636434,Via Giovanni Chiassi Mantova,Via Vigentina Pavia
esx,5.560720205307007,3,229752.29889,Via Giovanni Chiassi Mantova,Via Vigentina Pavia
penalty,5.591614246368408,5,177886.008962,Via Giovanni Chiassi Mantova,Via Vigentina Pavia
onepass_plus,7.200683116912842,2,155230.842352,Via Giovanni Chiassi Mantova,Via Vigentina Pavia
onepass_plus,0.822113037109375,0,5132.192174,Viale Lodi 55 Pavia,Via Vigentina Pavia
esx,0.8867688179016113,0,5132.192174,Viale Lodi 55 Pavia,Via Vigentina Pavia
penalty,0.9526059627532959,0,5132.192174,Viale Lodi 55 Pavia,Via Vigentina Pavia
onepass_plus,1.0150458812713623,1,9090.082315,Viale Lodi 55 Pavia,Via Vigentina Pavia
esx,1.080108880996704,1,10153.337963,Viale Lodi 55 Pavia,Via Vigentina Pavia
onepass_plus,1.1455819606781006,2,9952.501136,Viale Lodi 55 Pavia,Via Vigentina Pavia
esx,1.2082250118255615,2,25493.990311,Viale Lodi 55 Pavia,Via Vigentina Pavia
onepass_plus,1.2726268768310547,3,18828.438228,Viale Lodi 55 Pavia,Via Vigentina Pavia
esx,1.3356060981750488,3,34531.838454,Viale Lodi 55 Pavia,Via Vigentina Pavia
onepass_plus,1.3993279933929443,4,25493.990311,Viale Lodi 55 Pavia,Via Vigentina Pavia
esx,1.4658560752868652,4,36890.092382,Viale Lodi 55 Pavia,Via Vigentina Pavia
onepass_plus,1.5299510955810547,5,33123.799875,Viale Lodi 55 Pavia,Via Vigentina Pavia
esx,1.5946450233459473,5,61028.316136,Viale Lodi 55 Pavia,Via Vigentina Pavia
onepass_plus,1.656296968460083,6,33126.340765,Viale Lodi 55 Pavia,Via Vigentina Pavia
esx,1.718843936920166,6,74090.782433,Viale Lodi 55 Pavia,Via Vigentina Pavia
2,1.7200090885162354,429851391,472687681.0,Viale Lodi 55 Pavia,Via Vigentina Pavia
onepass_plus,0.805182933807373,0,5132.192174,Viale Lodi 55 Pavia,Via Vigentina Pavia
penalty,0.868649959564209,0,5132.192174,Viale Lodi 55 Pavia,Via Vigentina Pavia
esx,0.9313299655914307,0,5132.192174,Viale Lodi 55 Pavia,Via Vigentina Pavia
onepass_plus,0.9945909976959229,1,9090.082315,Viale Lodi 55 Pavia,Via Vigentina Pavia
esx,1.0581271648406982,1,10153.337963,Viale Lodi 55 Pavia,Via Vigentina Pavia
onepass_plus,1.1214079856872559,2,9952.501136,Viale Lodi 55 Pavia,Via Vigentina Pavia
esx,1.1839311122894287,2,25493.990311,Viale Lodi 55 Pavia,Via Vigentina Pavia
onepass_plus,1.2471132278442383,3,18828.438228,Viale Lodi 55 Pavia,Via Vigentina Pavia
esx,1.3113269805908203,3,34531.838454,Viale Lodi 55 Pavia,Via Vigentina Pavia
onepass_plus,1.374312162399292,4,25493.990311,Viale Lodi 55 Pavia,Via Vigentina Pavia
esx,1.4410569667816162,4,36890.092382,Viale Lodi 55 Pavia,Via Vigentina Pavia
onepass_plus,1.503974199295044,5,33123.799875,Viale Lodi 55 Pavia,Via Vigentina Pavia
esx,1.5684070587158203,5,61028.316136,Viale Lodi 55 Pavia,Via Vigentina Pavia
