alg,s,t,k,theta,time
onepass_plus,1746,1916,7,0.5,12441
esx,1746,1916,7,0.5,138620
onepass_plus,1746,1916,7,0.4,46713.6
esx,1746,1916,7,0.4,153024
onepass_plus,1746,1916,7,0.3,17965.2
esx,1746,1916,7,0.3,159051
onepass_plus,1746,1916,7,0.2,4684.9
esx,1746,1916,7,0.2,160898
onepass_plus,1746,1916,7,0.1,10004.1
esx,1746,1916,7,0.1,159083
¢
