alg,time,number,length,source,dest
penalty,4.075886487960815,4,2140.531,Strada del Col San Carlo La Thuile,Via Gran Paradiso Cogne
onepass_plus,4.148846626281738,5,2099.081,Strada del Col San Carlo La Thuile,Via Gran Paradiso Cogne
penalty,4.1975767612457275,5,2428.408,Strada del Col San Carlo La Thuile,Via Gran Paradiso Cogne
esx,4.244717359542847,5,3963.937,Strada del Col San Carlo La Thuile,Via Gran Paradiso Cogne
onepass_plus,4.283383131027222,6,2131.532,Strada del Col San Carlo La Thuile,Via Gran Paradiso Cogne
esx,4.325806140899658,6,4699.736,Strada del Col San Carlo La Thuile,Via Gran Paradiso Cogne
onepass_plus,2.9443840980529785,0,1583.564,Corso Vittorio Emanuele II Torino,Via Roma Torino
esx,2.982835531234741,0,1583.564,Corso Vittorio Emanuele II Torino,Via Roma Torino
onepass_plus,3.0212857723236084,1,1610.68,Corso Vittorio Emanuele II Torino,Via Roma Torino
penalty,3.070680856704712,0,1583.564,Corso Vittorio Emanuele II Torino,Via Roma Torino
esx,3.109043836593628,1,1674.253,Corso Vittorio Emanuele II Torino,Via Roma Torino
onepass_plus,3.1482534408569336,2,1634.483,Corso Vittorio Emanuele II Torino,Via Roma Torino
penalty,3.1953957080841064,1,1628.594,Corso Vittorio Emanuele II Torino,Via Roma Torino
esx,3.2342770099639893,2,1759.013,Corso Vittorio Emanuele II Torino,Via Roma Torino
onepass_plus,3.273402214050293,3,1759.013,Corso Vittorio Emanuele II Torino,Via Roma Torino
penalty,3.3204853534698486,2,1759.013,Corso Vittorio Emanuele II Torino,Via Roma Torino
onepass_plus,3.3586227893829346,4,2089.09,Corso Vittorio Emanuele II Torino,Via Roma Torino
esx,3.398530960083008,3,2113.512,Corso Vittorio Emanuele II Torino,Via Roma Torino
penalty,3.4465394020080566,3,2051.902,Corso Vittorio Emanuele II Torino,Via Roma Torino
onepass_plus,3.4877431392669678,5,2099.081,Corso Vittorio Emanuele II Torino,Via Roma Torino
esx,3.527156352996826,4,3204.092,Corso Vittorio Emanuele II Torino,Via Roma Torino
penalty,3.5717458724975586,4,2140.531,Corso Vittorio Emanuele II Torino,Via Roma Torino
onepass_plus,3.608813762664795,6,2131.532,Corso Vittorio Emanuele II Torino,Via Roma Torino
penalty,3.650554895401001,5,2428.408,Corso Vittorio Emanuele II Torino,Via Roma Torino
esx,3.682070732116699,5,3963.937,Corso Vittorio Emanuele II Torino,Via Roma Torino
esx,3.75616455078125,6,4699.736,Corso Vittorio Emanuele II Torino,Via Roma Torino
esx,3.5375349521636963,0,7904.188,Via Garibaldi Torino,Corso Unità
onepass_plus,3.5724058151245117,0,7904.188,Via Garibaldi Torino,Corso Unità
penalty,3.6106679439544678,0,7904.188,Via Garibaldi Torino,Corso Unità
onepass_plus,3.6615982055664062,1,7923.53,Via Garibaldi Torino,Corso Unità
esx,3.7076587677001953,1,11284.688,Via Garibaldi Torino,Corso Unità
penalty,3.7387595176696777,1,8009.534,Via Garibaldi Torino,Corso Unità
onepass_plus,3.7783379554748535,2,7957.016,Via Garibaldi Torino,Corso Unità
penalty,3.809352159500122,2,8061.27,Via Garibaldi Torino,Corso Unità
penalty,3.833294630050659,3,8177.836,Via Garibaldi Torino,Corso Unità
penalty,3.8820135593414307,4,8586.301,Via Garibaldi Torino,Corso Unità
onepass_plus,3.9303977489471436,3,8034.253,Via Garibaldi Torino,Corso Unità
esx,3.9869003295898438,2,12010.671,Via Garibaldi Torino,Corso Unità
penalty,4.035661935806274,5,8952.348,Via Garibaldi Torino,Corso Unità
onepass_plus,4.08368182182312,4,8045.137,Via Garibaldi Torino,Corso Unità
penalty,4.11647367477417,6,9171.325,Via Garibaldi Torino,Corso Unità
esx,4.163009405136108,3,12543.472,Via Garibaldi Torino,Corso Unità
esx,4.302130222320557,4,12811.161,Via Garibaldi Torino,Corso Unità
esx,4.44014310836792,5,12910.31,Via Garibaldi Torino,Corso Unità
esx,4.556595802307129,6,13109.74,Via Garibaldi Torino,Corso Unità
onepass_plus,7.936331748962402,5,8128.334,Via Garibaldi Torino,Corso Unità
