alg,s,t,k,theta,time
esx,920,1998,1,0.65,4.20858
penalty,920,1998,1,0.65,5.55775
onepass_plus,854,1714,7,0.15,53.418
esx,854,1714,7,0.15,431.303
penalty,854,1714,7,0.15,122646
onepass_plus,456,482,6,0.84,8.38075
esx,456,482,6,0.84,380.79
penalty,456,482,6,0.84,16.39
onepass_plus,1704,133,8,0.63,14.7303
esx,1704,133,8,0.63,885.045
penalty,1704,133,8,0.63,26.0296
onepass_plus,1775,1049,10,0.96,7.59421
esx,1775,1049,10,0.96,1129.64
penalty,1775,1049,10,0.96,33.2896
onepass_plus,1548,399,1,0.54,4.66562
esx,1548,399,1,0.54,4.76808
penalty,1548,399,1,0.54,5.68492
