alg,s,t,k,theta,time
onepass_plus,1995,1799,5,0.7,19.4151
esx,1995,1799,5,0.7,1051.4
penalty,1995,1799,5,0.7,24.8278
onepass_plus,1995,1799,5,0.6,17.4461
esx,1995,1799,5,0.6,1046.98
penalty,1995,1799,5,0.6,28.6868
onepass_plus,1995,1799,5,0.5,31.1927
esx,1995,1799,5,0.5,1050.16
penalty,1995,1799,5,0.5,26.3953
onepass_plus,1995,1799,5,0.4,51.8403
esx,1995,1799,5,0.4,1073.24
penalty,1995,1799,5,0.4,26.615
onepass_plus,1995,1799,5,0.3,88.5956
esx,1995,1799,5,0.3,1179.86
penalty,1995,1799,5,0.3,26.9487
onepass_plus,1995,1799,5,0.2,343.687
esx,1995,1799,5,0.2,1320.73
penalty,1995,1799,5,0.2,84.1171
onepass_plus,1995,1799,5,0.1,211.851
esx,1995,1799,5,0.1,1379.59
penalty,1995,1799,5,0.1,661024
onepass_plus,1995,1799,6,1,6.89138
esx,1995,1799,6,1,1199.25
penalty,1995,1799,6,1,26.0785
onepass_plus,1995,1799,6,0.9,7.29967
esx,1995,1799,6,0.9,1262.26
penalty,1995,1799,6,0.9,25.7253
onepass_plus,1995,1799,6,0.8,16.3683
esx,1995,1799,6,0.8,1267.43
penalty,1995,1799,6,0.8,28.1617
onepass_plus,1995,1799,6,0.7,29.1475
esx,1995,1799,6,0.7,1194.81
penalty,1995,1799,6,0.7,25.859
onepass_plus,1995,1799,6,0.6,38.0287
esx,1995,1799,6,0.6,1186.58
penalty,1995,1799,6,0.6,38.9365
onepass_plus,1995,1799,6,0.5,44.9873
esx,1995,1799,6,0.5,1204.8
penalty,1995,1799,6,0.5,47.2949
onepass_plus,1995,1799,6,0.4,61.817
esx,1995,1799,6,0.4,1229.78
penalty,1995,1799,6,0.4,46.5709
onepass_plus,1995,1799,6,0.3,136.177
esx,1995,1799,6,0.3,1397.4
penalty,1995,1799,6,0.3,58.9944
onepass_plus,1995,1799,6,0.2,538.113
esx,1995,1799,6,0.2,1620.86
penalty,1995,1799,6,0.2,100.341
onepass_plus,1995,1799,6,0.1,302.322
esx,1995,1799,6,0.1,1948.08
penalty,1995,1799,6,0.1,674974
onepass_plus,1995,1799,7,1,7.32987
esx,1995,1799,7,1,1383.78
penalty,1995,1799,7,1,30.4701
onepass_plus,1995,1799,7,0.9,7.95162
esx,1995,1799,7,0.9,1424.47
penalty,1995,1799,7,0.9,30.0514
onepass_plus,1995,1799,7,0.8,15.1078
esx,1995,1799,7,0.8,1435.02
penalty,1995,1799,7,0.8,31.2297
onepass_plus,1995,1799,7,0.7,46.4662
esx,1995,1799,7,0.7,1397.48
penalty,1995,1799,7,0.7,34.8392
onepass_plus,1995,1799,7,0.6,54.6713
esx,1995,1799,7,0.6,1385.84
penalty,1995,1799,7,0.6,47.0441
onepass_plus,1995,1799,7,0.5,110.201
esx,1995,1799,7,0.5,1468.5
penalty,1995,1799,7,0.5,61.7103
onepass_plus,1995,1799,7,0.4,626.433
esx,1995,1799,7,0.4,1577
penalty,1995,1799,7,0.4,63.6523
onepass_plus,1995,1799,7,0.3,1105.42
esx,1995,1799,7,0.3,1662.73
penalty,1995,1799,7,0.3,70.5641
onepass_plus,1995,1799,7,0.2,1202.36
esx,1995,1799,7,0.2,2058.71
penalty,1995,1799,7,0.2,168.71
onepass_plus,1995,1799,7,0.1,383.989
esx,1995,1799,7,0.1,2351.64
penalty,1995,1799,7,0.1,663100
