alg,source,dest,number,time,length,length_at_number_0
esx,Corso Alfieri Asti,Via Garibaldi Canelli,2,300.0,,39988.292
esx,Corso Alfieri Asti,Via Garibaldi Canelli,3,300.0,,39988.292
esx,Corso Alfieri Asti,Via Garibaldi Canelli,4,300.0,,39988.292
esx,Corso Alfieri Asti,Via Garibaldi Canelli,5,300.0,,39988.292
esx,Corso Alfieri Asti,Via Garibaldi Canelli,6,300.0,,39988.292
esx,Corso Buenos Aires Milano,Lungomare Argentina Bordighera,0,5.084378480911255,305128.654,305128.654
esx,Corso Buenos Aires Milano,Lungomare Argentina Bordighera,1,5.517758846282959,343641.134,305128.654
esx,Corso Buenos Aires Milano,Lungomare Argentina Bordighera,2,5.922088861465454,355918.502,305128.654
esx,Corso Buenos Aires Milano,Lungomare Argentina Bordighera,3,6.264997482299805,363571.312,305128.654
esx,Corso Buenos Aires Milano,Lungomare Argentina Bordighera,4,7.231870174407959,388171.542,305128.654
esx,Corso Buenos Aires Milano,Lungomare Argentina Bordighera,5,7.890199184417725,431587.149,305128.654
esx,Corso Buenos Aires Milano,Lungomare Argentina Bordighera,6,8.731827020645142,455507.282,305128.654
esx,Corso Buenos Aires Milano,Via Andrea Doria Genova,0,3.595301866531372,165492.341,165492.341
esx,Corso Buenos Aires Milano,Via Andrea Doria Genova,1,4.1670002937316895,179833.265,165492.341
esx,Corso Buenos Aires Milano,Via Andrea Doria Genova,2,4.622060060501099,190939.403,165492.341
esx,Corso Buenos Aires Milano,Via Andrea Doria Genova,3,4.996068239212036,231977.84,165492.341
esx,Corso Buenos Aires Milano,Via Andrea Doria Genova,4,5.431515455245972,263471.892,165492.341
esx,Corso Buenos Aires Milano,Via Andrea Doria Genova,5,6.114343881607056,374166.554,165492.341
esx,Corso Buenos Aires Milano,Via Andrea Doria Genova,6,300.0,,165492.341
esx,Corso Buenos Aires Milano,Viale Piave Milano,0,2.483469009399414,451.993,451.993
esx,Corso Buenos Aires Milano,Viale Piave Milano,1,300.0,,451.993
esx,Corso Buenos Aires Milano,Viale Piave Milano,2,300.0,,451.993
esx,Corso Buenos Aires Milano,Viale Piave Milano,3,300.0,,451.993
esx,Corso Buenos Aires Milano,Viale Piave Milano,4,300.0,,451.993
esx,Corso Buenos Aires Milano,Viale Piave Milano,5,300.0,,451.993
esx,Corso Buenos Aires Milano,Viale Piave Milano,6,300.0,,451.993
esx,Corso Cairoli Torino,Lungomare Vittorio Veneto Rapallo,0,3.446807384490967,205030.935,205030.935
esx,Corso Cairoli Torino,Lungomare Vittorio Veneto Rapallo,1,3.927032709121704,210065.008,205030.935
esx,Corso Cairoli Torino,Lungomare Vittorio Veneto Rapallo,2,4.493043661117554,231698.97,205030.935
esx,Corso Cairoli Torino,Lungomare Vittorio Veneto Rapallo,3,5.01818060874939,257110.566,205030.935
esx,Corso Cairoli Torino,Lungomare Vittorio Veneto Rapallo,4,5.341449975967407,274018.19,205030.935
esx,Corso Cairoli Torino,Lungomare Vittorio Veneto Rapallo,5,5.692826271057129,298879.875,205030.935
esx,Corso Cairoli Torino,Lungomare Vittorio Veneto Rapallo,6,6.261784076690674,329439.602,205030.935
esx,Corso Cairoli Torino,Piazza Vittorio Veneto Torino,0,2.6615331172943115,650.102,650.102
esx,Corso Cairoli Torino,Piazza Vittorio Veneto Torino,1,2.9031481742858887,692.966,650.102
esx,Corso Cairoli Torino,Piazza Vittorio Veneto Torino,2,3.176607131958008,1249.877,650.102
esx,Corso Cairoli Torino,Piazza Vittorio Veneto Torino,3,3.2962517738342285,1642.016,650.102
esx,Corso Cairoli Torino,Piazza Vittorio Veneto Torino,4,3.465667247772217,1876.435,650.102
esx,Corso Cairoli Torino,Piazza Vittorio Veneto Torino,5,300.0,,650.102
esx,Corso Cairoli Torino,Piazza Vittorio Veneto Torino,6,300.0,,650.102
esx,Corso Casale Torino,Via Garibaldi Finale Ligure,0,2.6649608612060547,158386.777,158386.777
esx,Corso Casale Torino,Via Garibaldi Finale Ligure,1,3.0079524517059326,178223.774,158386.777
esx,Corso Casale Torino,Via Garibaldi Finale Ligure,2,3.730698585510254,200889.822,158386.777
esx,Corso Casale Torino,Via Garibaldi Finale Ligure,3,5.338376522064209,220226.061,158386.777
